date,mood,tweets
1459204960.375491,0.12134847801578352,887
1459205561.85778,0.092241666666666652,924
1459206163.445463,0.08368206820682067,909
1459206763.603705,-0.04597404878048781,1025
1459207363.754567,-0.13565112359550563,1246
1459207963.984946,-0.07280017559262511,1139
1459208564.344099,-0.033394701986754975,1057
1459209164.374639,-0.066113571428571438,980
1459209764.774924,-0.069141528925619838,968
1459210365.633329,-0.036659703075291629,943
1459210966.867064,-0.032390676229508204,976
1459211567.585452,-0.028689989989989992,999
1459212167.588555,-0.047322633297062031,919
1459212768.11055,-0.062725054466230945,918
1459213368.214471,-0.10933724093264248,1544
1459213968.621782,-0.088174207811348562,1357
1459214568.870523,-0.055767452471482896,1315
1459215168.921279,-0.019154093567251465,1368
1459215769.459579,-0.087995723014256622,1473
1459216369.735659,-0.08385152354570638,1444
1459216969.901379,-0.047747085541256631,1321
1459217569.972279,-0.065581597717546361,1402
1459218170.034001,-0.080425106382978728,1410
1459218770.179636,-0.063882344428364699,1382
1459219370.552724,-0.062337829209896251,1253
1459219970.765375,-0.015434706331045014,1311
1459220571.206582,-0.032567993501218521,1231
1459221173.255551,-0.034112523191094611,1078
1459221773.643569,-0.060370228215767631,964
1459222374.120067,-0.058156279069767447,1075
1459222974.177647,-0.034861913523459069,1087
1459223574.852281,-0.049002097902097905,1001
1459224176.741704,-0.065147251585623692,946
1459224776.867557,-0.072190428211586916,794
1459225378.212167,-0.066204787961696307,731
1459225978.983699,-0.047888703465982028,779
1459226579.579681,-0.033089303904923602,589
1459227179.880061,-0.044199999999999996,676
1459227780.385276,-0.065992547660311957,577
1459228380.925518,-0.082424156305506202,563
1459228981.934748,-0.033605870020964365,477
1459229590.25315,-0.0096459839357429713,498
1459230191.138224,-0.050809643605870029,477
1459230793.301484,0.0080968036529680317,438
1459231393.387582,-0.052402680412371137,485
1459231994.039293,-0.041059498207885306,279
1459232594.293566,0.027554151624548742,277
1459233196.901889,-0.043020731707317079,164
1459233798.359506,-0.01957385620915033,153
1459234400.147564,-0.036052252252252254,111
1459235007.368608,-0.19215859872611465,157
1459235608.231121,-0.059406930693069314,101
1459236208.82587,-0.040481250000000003,112
1459236810.22114,-0.026086666666666671,135
1459237417.720017,-0.013616000000000003,125
1459238029.148729,-0.029310344827586196,116
1459238630.50452,-0.08929928571428572,140
1459239243.862523,-0.022567307692307689,104
1459241959.470317,,0
1459244518.209241,,0
1459246288.582464,-0.077184684684684673,111
1459248706.934606,-0.029331531531531525,111
1459249313.128303,-0.0036531746031746035,126
1459249913.658036,-0.041081250000000007,192
1459250515.130376,-0.059288819875776402,161
1459252324.100155,-0.16230686274509801,102
1459254094.7549677,,0
1459256857.158499,,0
1459259804.4752321,,0
1459262392.749779,0.26258045112781953,133
1459263028.499224,0.20079100529100524,189
1459263631.023761,0.2140674285714286,175
1459264921.783681,0.17889212598425197,127
1459269701.112808,0.0038881481481481523,135
1459272240.997853,0.050266091370558381,985
1459272842.100034,0.055030152284263965,985
1459273444.359339,0.054909183673469392,882
1459274044.638296,0.038745841584158412,1010
1459274644.928157,0.079480616740088092,908
1459275245.619266,0.041322141372141366,962
1459275846.948166,-0.051682828282828282,891
1459276447.290971,0.028902383222116298,1049
1459277047.529106,0.012208926417370328,829
1459277648.975069,-0.0021194660734149052,899
1459278249.018318,0.0071786724700761678,919
